SEASON_TM,SEASON,CONFERENCE,DIVISION,TEAM,TM,PLAYOFFS,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW
1992NJD,1992,,,New Jersey Devils,NJD,Y,80,38,31,11,,87,0.544,289,259,0.48,0.1,,
1992NYI,1992,,,New York Islanders,NYI,N,80,34,35,11,,79,0.494,291,299,0.04,0.14,,
1992PHI,1992,,,Philadelphia Flyers,PHI,N,80,32,37,11,,75,0.469,252,273,-0.13,0.13,,
1993CHI,1993,,,Chicago Blackhawks,CHI,Y,84,47,25,12,,106,0.631,279,230,0.58,-0.01,,
1993DET,1993,,,Detroit Red Wings,DET,Y,84,47,28,9,,103,0.613,369,280,0.99,-0.07,,
1993TOR,1993,,,Toronto Maple Leafs,TOR,Y,84,44,29,11,,99,0.589,288,241,0.47,-0.09,,
1993STL,1993,,,St. Louis Blues,STL,Y,84,37,36,11,,85,0.506,282,278,0.06,0.01,,
1993MNS,1993,,,Minnesota North Stars,MNS,N,84,36,38,10,,82,0.488,272,293,-0.21,0.04,,
1993TBL,1993,,,Tampa Bay Lightning,TBL,N,84,23,54,7,,53,0.315,245,332,-0.96,0.08,,
1993VAN,1993,,,Vancouver Canucks,VAN,Y,84,46,29,9,,101,0.601,346,278,0.6,-0.21,,
1993CGY,1993,,,Calgary Flames,CGY,Y,84,43,30,11,,97,0.577,322,282,0.25,-0.22,,
1993LAK,1993,,,Los Angeles Kings,LAK,Y,84,39,35,10,,88,0.524,338,340,-0.13,-0.1,,
1993WPG,1993,,,Winnipeg Jets,WPG,Y,84,40,37,7,,87,0.518,322,320,-0.2,-0.23,,
1993EDM,1993,,,Edmonton Oilers,EDM,N,84,26,50,8,,60,0.357,242,337,-1.19,-0.06,,
1993SJS,1993,,,San Jose Sharks,SJS,N,84,11,71,2,,24,0.143,218,414,-2.29,0.05,,
1993BOS,1993,,,Boston Bruins,BOS,Y,84,51,26,7,,109,0.649,332,268,0.74,-0.03,,
1993QUE,1993,,,Quebec Nordiques,QUE,Y,84,47,27,10,,104,0.619,351,300,0.5,-0.11,,
1993MTL,1993,,,Montreal Canadiens,MTL,Y,84,48,30,6,,102,0.607,326,280,0.49,-0.06,,
1993BUF,1993,,,Buffalo Sabres,BUF,Y,84,38,36,10,,86,0.512,335,297,0.41,-0.04,,
#N/A,1993,,,Hartford Whalers,#N/A,N,84,26,52,6,,58,0.345,284,369,-0.93,0.08,,
1993OTT,1993,,,Ottawa Senators,OTT,N,84,10,70,4,,24,0.143,202,395,-2.1,0.2,,
1993PIT,1993,,,Pittsburgh Penguins,PIT,Y,84,56,21,7,,119,0.708,367,268,1.23,0.05,,
1993WSH,1993,,,Washington Capitals,WSH,Y,84,43,34,7,,93,0.554,325,286,0.57,0.11,,
1993NJD,1993,,,New Jersey Devils,NJD,Y,84,40,37,7,,87,0.518,308,299,0.26,0.15,,
1993NYI,1993,,,New York Islanders,NYI,Y,84,40,37,7,,87,0.518,335,297,0.56,0.11,,
1993PHI,1993,,,Philadelphia Flyers,PHI,N,84,36,37,11,,83,0.494,319,319,0.2,0.2,,
1993NYR,1993,,,New York Rangers,NYR,N,84,34,39,11,,79,0.47,304,308,0.1,0.15,,
1994NYR,1994,,,New York Rangers,NYR,Y,84,52,24,8,,112,0.667,299,231,0.81,0,,
1994NJD,1994,,,New Jersey Devils,NJD,Y,84,47,25,12,,106,0.631,306,220,1.01,-0.02,,
1994WSH,1994,,,Washington Capitals,WSH,Y,84,39,35,10,,88,0.524,277,263,0.2,0.03,,
1994NYI,1994,,,New York Islanders,NYI,Y,84,36,36,12,,84,0.5,282,264,0.25,0.03,,
1994FLA,1994,,,Florida Panthers,FLA,N,84,33,34,17,,83,0.494,233,233,0.02,0.02,,
1994PHI,1994,,,Philadelphia Flyers,PHI,N,84,35,39,10,,80,0.476,294,314,-0.19,0.05,,
1994TBL,1994,,,Tampa Bay Lightning,TBL,N,84,30,43,11,,71,0.423,224,251,-0.26,0.06,,
1994PIT,1994,,,Pittsburgh Penguins,PIT,Y,84,44,27,13,,101,0.601,299,285,0.17,0,,
1994BOS,1994,,,Boston Bruins,BOS,Y,84,42,29,13,,97,0.577,289,252,0.41,-0.03,,
1994MTL,1994,,,Montreal Canadiens,MTL,Y,84,41,29,14,,96,0.571,283,248,0.39,-0.03,,
1994BUF,1994,,,Buffalo Sabres,BUF,Y,84,43,32,9,,95,0.565,282,218,0.72,-0.04,,
1994QUE,1994,,,Quebec Nordiques,QUE,N,84,34,42,8,,76,0.452,277,292,-0.16,0.02,,
#N/A,1994,,,Hartford Whalers,#N/A,N,84,27,48,9,,63,0.375,227,288,-0.68,0.04,,
1994OTT,1994,,,Ottawa Senators,OTT,N,84,14,61,9,,37,0.22,201,397,-2.22,0.12,,
1994DET,1994,,,Detroit Red Wings,DET,Y,84,46,30,8,,100,0.595,356,275,0.89,-0.08,,
1994TOR,1994,,,Toronto Maple Leafs,TOR,Y,84,43,29,12,,98,0.583,280,243,0.41,-0.03,,
1994DAL,1994,,,Dallas Stars,DAL,Y,84,42,29,13,,97,0.577,286,265,0.2,-0.05,,
1994STL,1994,,,St. Louis Blues,STL,Y,84,40,33,11,,91,0.542,270,283,-0.16,0,,
1994CHI,1994,,,Chicago Blackhawks,CHI,Y,84,39,36,9,,87,0.518,254,240,0.15,-0.02,,
1994WPG,1994,,,Winnipeg Jets,WPG,N,84,24,51,9,,57,0.339,245,344,-1.13,0.05,,
1994CGY,1994,,,Calgary Flames,CGY,Y,84,42,29,13,,97,0.577,302,256,0.48,-0.07,,
1994VAN,1994,,,Vancouver Canucks,VAN,Y,84,41,40,3,,85,0.506,279,276,0.01,-0.03,,
1994SJS,1994,,,San Jose Sharks,SJS,Y,84,33,35,16,,82,0.488,252,265,-0.17,-0.02,,
1994MDA,1994,,,Mighty Ducks of Anaheim,MDA,N,84,33,46,5,,71,0.423,229,251,-0.27,-0.01,,
1994LAK,1994,,,Los Angeles Kings,LAK,N,84,27,45,12,,66,0.393,294,322,-0.34,-0.01,,
1994EDM,1994,,,Edmonton Oilers,EDM,N,84,25,45,14,,64,0.381,261,305,-0.52,0,,
1995PHI,1995,,,Philadelphia Flyers,PHI,Y,48,28,16,4,,60,0.625,150,132,0.36,-0.01,,
1995NJD,1995,,,New Jersey Devils,NJD,Y,48,22,18,8,,52,0.542,136,121,0.3,-0.01,,
1995WSH,1995,,,Washington Capitals,WSH,Y,48,22,18,8,,52,0.542,136,120,0.33,-0.01,,
1995NYR,1995,,,New York Rangers,NYR,Y,48,22,23,3,,47,0.49,139,134,0.1,-0.01,,
1995FLA,1995,,,Florida Panthers,FLA,N,48,20,22,6,,46,0.479,115,127,-0.26,-0.01,,
1995TBL,1995,,,Tampa Bay Lightning,TBL,N,48,17,28,3,,37,0.385,120,144,-0.49,0.01,,
1995NYI,1995,,,New York Islanders,NYI,N,48,15,28,5,,35,0.365,126,158,-0.63,0.04,,
1995QUE,1995,,,Quebec Nordiques,QUE,Y,48,30,13,5,,65,0.677,185,134,1.01,-0.06,,
1995PIT,1995,,,Pittsburgh Penguins,PIT,Y,48,29,16,3,,61,0.635,181,158,0.44,-0.04,,
1995BOS,1995,,,Boston Bruins,BOS,Y,48,27,18,3,,57,0.594,150,127,0.46,-0.02,,
1995BUF,1995,,,Buffalo Sabres,BUF,Y,48,22,19,7,,51,0.531,130,119,0.2,-0.03,,
#N/A,1995,,,Hartford Whalers,#N/A,N,48,19,24,5,,43,0.448,127,141,-0.27,0.02,,
1995MTL,1995,,,Montreal Canadiens,MTL,N,48,18,23,7,,43,0.448,125,148,-0.42,0.06,,
1995OTT,1995,,,Ottawa Senators,OTT,N,48,9,34,5,,23,0.24,117,174,-1.12,0.07,,
1995DET,1995,,,Detroit Red Wings,DET,Y,48,33,11,4,,70,0.729,180,117,1.24,-0.08,,
1995STL,1995,,,St. Louis Blues,STL,Y,48,28,15,5,,61,0.635,178,135,0.84,-0.06,,
1995CHI,1995,,,Chicago Blackhawks,CHI,Y,48,24,19,5,,53,0.552,156,115,0.8,-0.05,,
1995TOR,1995,,,Toronto Maple Leafs,TOR,Y,48,21,19,8,,50,0.521,135,146,-0.19,0.04,,
1995DAL,1995,,,Dallas Stars,DAL,Y,48,17,23,8,,42,0.438,136,135,0.07,0.05,,
1995WPG,1995,,,Winnipeg Jets,WPG,N,48,16,25,7,,39,0.406,157,177,-0.33,0.08,,
1995CGY,1995,,,Calgary Flames,CGY,Y,48,24,17,7,,55,0.573,163,135,0.49,-0.09,,
1995VAN,1995,,,Vancouver Canucks,VAN,Y,48,18,18,12,,48,0.5,153,148,0.06,-0.04,,
1995SJS,1995,,,San Jose Sharks,SJS,Y,48,19,25,4,,42,0.438,129,161,-0.66,0.01,,
1995LAK,1995,,,Los Angeles Kings,LAK,N,48,16,23,9,,41,0.427,142,174,-0.65,0.02,,
1995EDM,1995,,,Edmonton Oilers,EDM,N,48,17,27,4,,38,0.396,136,183,-0.92,0.06,,
1995MDA,1995,,,Mighty Ducks of Anaheim,MDA,N,48,16,27,5,,37,0.385,125,164,-0.77,0.05,,
1996PHI,1996,,,Philadelphia Flyers,PHI,Y,82,45,24,13,,103,0.628,282,208,0.88,-0.03,,
1996NYR,1996,,,New York Rangers,NYR,Y,82,41,27,14,,96,0.585,272,237,0.43,0,,
1996FLA,1996,,,Florida Panthers,FLA,Y,82,41,31,10,,92,0.561,254,234,0.27,0.02,,
1996WSH,1996,,,Washington Capitals,WSH,Y,82,39,32,11,,89,0.543,234,204,0.38,0.02,,
1996TBL,1996,,,Tampa Bay Lightning,TBL,Y,82,38,32,12,,88,0.537,238,248,-0.07,0.05,,
1996NJD,1996,,,New Jersey Devils,NJD,N,82,37,33,12,,86,0.524,215,202,0.2,0.04,,
1996NYI,1996,,,New York Islanders,NYI,N,82,22,50,10,,54,0.329,229,315,-0.94,0.11,,
1996PIT,1996,,,Pittsburgh Penguins,PIT,Y,82,49,29,4,,102,0.622,362,284,0.9,-0.05,,
1996BOS,1996,,,Boston Bruins,BOS,Y,82,40,31,11,,91,0.555,282,269,0.17,0.01,,
1996MTL,1996,,,Montreal Canadiens,MTL,Y,82,40,32,10,,90,0.549,265,248,0.2,-0.01,,
#N/A,1996,,,Hartford Whalers,#N/A,N,82,34,39,9,,77,0.47,237,259,-0.22,0.05,,
1996BUF,1996,,,Buffalo Sabres,BUF,N,82,33,42,7,,73,0.445,247,262,-0.16,0.03,,
1996OTT,1996,,,Ottawa Senators,OTT,N,82,18,59,5,,41,0.25,191,291,-1.12,0.1,,
1996DET,1996,,,Detroit Red Wings,DET,Y,82,62,13,7,,131,0.799,325,181,1.64,-0.11,,
1996CHI,1996,,,Chicago Blackhawks,CHI,Y,82,40,28,14,,94,0.573,273,220,0.61,-0.04,,
1996TOR,1996,,,Toronto Maple Leafs,TOR,Y,82,34,36,12,,80,0.488,247,252,-0.07,0,,
1996STL,1996,,,St. Louis Blues,STL,Y,82,32,34,16,,80,0.488,219,248,-0.35,0,,
1996WPG,1996,,,Winnipeg Jets,WPG,Y,82,36,40,6,,78,0.476,275,291,-0.18,0.02,,
1996DAL,1996,,,Dallas Stars,DAL,N,82,26,42,14,,66,0.402,227,280,-0.6,0.05,,
1996COL,1996,,,Colorado Avalanche,COL,Y,82,47,25,10,,104,0.634,326,240,0.93,-0.12,,
1996CGY,1996,,,Calgary Flames,CGY,Y,82,34,37,11,,79,0.482,241,240,-0.04,-0.05,,
1996VAN,1996,,,Vancouver Canucks,VAN,Y,82,32,35,15,,79,0.482,278,278,-0.05,-0.05,,
1996MDA,1996,,,Mighty Ducks of Anaheim,MDA,N,82,35,39,8,,78,0.476,234,247,-0.19,-0.03,,
1996EDM,1996,,,Edmonton Oilers,EDM,N,82,30,44,8,,68,0.415,240,304,-0.78,0,,
1996LAK,1996,,,Los Angeles Kings,LAK,N,82,24,40,18,,66,0.402,256,302,-0.59,-0.03,,
1996SJS,1996,,,San Jose Sharks,SJS,N,82,20,55,7,,47,0.287,252,357,-1.25,0.03,,
1997NJD,1997,,,New Jersey Devils,NJD,Y,82,45,23,14,,104,0.634,231,182,0.57,-0.03,,
1997PHI,1997,,,Philadelphia Flyers,PHI,Y,82,45,24,13,,103,0.628,274,217,0.67,-0.03,,
1997FLA,1997,,,Florida Panthers,FLA,Y,82,35,28,19,,89,0.543,221,201,0.25,0,,
1997NYR,1997,,,New York Rangers,NYR,Y,82,38,34,10,,86,0.524,258,231,0.33,0.01,,
1997WSH,1997,,,Washington Capitals,WSH,N,82,33,40,9,,75,0.457,214,231,-0.17,0.04,,
1997TBL,1997,,,Tampa Bay Lightning,TBL,N,82,32,40,10,,74,0.451,217,247,-0.33,0.04,,
1997NYI,1997,,,New York Islanders,NYI,N,82,29,41,12,,70,0.427,240,250,-0.1,0.02,,
1997BUF,1997,,,Buffalo Sabres,BUF,Y,82,40,30,12,,92,0.561,237,208,0.31,-0.04,,
1997PIT,1997,,,Pittsburgh Penguins,PIT,Y,82,38,36,8,,84,0.512,285,280,0.04,-0.02,,
1997MTL,1997,,,Montreal Canadiens,MTL,Y,82,31,36,15,,77,0.47,249,276,-0.34,-0.01,,
1997OTT,1997,,,Ottawa Senators,OTT,Y,82,31,36,15,,77,0.47,226,234,-0.11,-0.02,,
#N/A,1997,,,Hartford Whalers,#N/A,N,82,32,39,11,,75,0.457,226,256,-0.37,0,,
1997BOS,1997,,,Boston Bruins,BOS,N,82,26,47,9,,61,0.372,234,300,-0.78,0.02,,
1997DAL,1997,,,Dallas Stars,DAL,Y,82,48,26,8,,104,0.634,252,198,0.64,-0.02,,
1997DET,1997,,,Detroit Red Wings,DET,Y,82,38,26,18,,94,0.573,253,197,0.66,-0.03,,
1997PHX,1997,,,Phoenix Coyotes,PHX,Y,82,38,37,7,,83,0.506,240,243,-0.02,0.02,,
1997STL,1997,,,St. Louis Blues,STL,Y,82,36,35,11,,83,0.506,236,239,-0.03,0.01,,
1997CHI,1997,,,Chicago Blackhawks,CHI,Y,82,34,35,13,,81,0.494,223,210,0.18,0.02,,
1997TOR,1997,,,Toronto Maple Leafs,TOR,N,82,30,44,8,,68,0.415,230,273,-0.48,0.05,,
1997COL,1997,,,Colorado Avalanche,COL,Y,82,49,24,9,,107,0.652,277,205,0.81,-0.07,,
1997MDA,1997,,,Mighty Ducks of Anaheim,MDA,Y,82,36,33,13,,85,0.518,245,233,0.12,-0.03,,
1997EDM,1997,,,Edmonton Oilers,EDM,Y,82,36,37,9,,81,0.494,252,247,0.03,-0.03,,
1997VAN,1997,,,Vancouver Canucks,VAN,N,82,35,40,7,,77,0.47,257,273,-0.2,-0.01,,
1997CGY,1997,,,Calgary Flames,CGY,N,82,32,41,9,,73,0.445,214,239,-0.29,0.02,,
1997LAK,1997,,,Los Angeles Kings,LAK,N,82,28,43,11,,67,0.409,214,268,-0.62,0.04,,
1997SJS,1997,,,San Jose Sharks,SJS,N,82,27,47,8,,62,0.378,211,278,-0.78,0.03,,
1998NJD,1998,,,New Jersey Devils,NJD,Y,82,48,23,11,,107,0.652,225,166,0.66,-0.06,,
1998PHI,1998,,,Philadelphia Flyers,PHI,Y,82,42,29,11,,95,0.579,242,193,0.53,-0.07,,
1998WSH,1998,,,Washington Capitals,WSH,Y,82,40,30,12,,92,0.561,219,202,0.17,-0.04,,
1998NYI,1998,,,New York Islanders,NYI,N,82,30,41,11,,71,0.433,212,225,-0.15,0,,
1998NYR,1998,,,New York Rangers,NYR,N,82,25,39,18,,68,0.415,197,231,-0.41,0,,
1998FLA,1998,,,Florida Panthers,FLA,N,82,24,43,15,,63,0.384,203,256,-0.62,0.03,,
1998TBL,1998,,,Tampa Bay Lightning,TBL,N,82,17,55,10,,44,0.268,151,269,-1.37,0.07,,
1998PIT,1998,,,Pittsburgh Penguins,PIT,Y,82,40,24,18,,98,0.598,228,188,0.48,-0.01,,
1998BOS,1998,,,Boston Bruins,BOS,Y,82,39,30,13,,91,0.555,221,194,0.33,0,,
1998BUF,1998,,,Buffalo Sabres,BUF,Y,82,36,29,17,,89,0.543,211,187,0.29,0,,
1998MTL,1998,,,Montreal Canadiens,MTL,Y,82,37,32,13,,87,0.53,235,208,0.33,0,,
1998OTT,1998,,,Ottawa Senators,OTT,Y,82,34,33,15,,83,0.506,193,200,-0.06,0.02,,
1998CAR,1998,,,Carolina Hurricanes,CAR,N,82,33,41,8,,74,0.451,200,219,-0.2,0.04,,
1998DAL,1998,,,Dallas Stars,DAL,Y,82,49,22,11,,109,0.665,242,167,0.88,-0.03,,
1998DET,1998,,,Detroit Red Wings,DET,Y,82,44,23,15,,103,0.628,250,196,0.64,-0.02,,
1998STL,1998,,,St. Louis Blues,STL,Y,82,45,29,8,,98,0.598,256,204,0.63,0,,
1998PHX,1998,,,Phoenix Coyotes,PHX,Y,82,35,35,12,,82,0.5,224,227,0,0.04,,
1998CHI,1998,,,Chicago Blackhawks,CHI,N,82,30,39,13,,73,0.445,192,199,-0.06,0.03,,
1998TOR,1998,,,Toronto Maple Leafs,TOR,N,82,30,43,9,,69,0.421,194,237,-0.46,0.07,,
1998COL,1998,,,Colorado Avalanche,COL,Y,82,39,26,17,,95,0.579,231,205,0.27,-0.05,,
1998LAK,1998,,,Los Angeles Kings,LAK,Y,82,38,33,11,,87,0.53,227,225,-0.01,-0.03,,
1998EDM,1998,,,Edmonton Oilers,EDM,Y,82,35,37,10,,80,0.488,215,224,-0.13,-0.02,,
1998SJS,1998,,,San Jose Sharks,SJS,Y,82,34,38,10,,78,0.476,210,216,-0.1,-0.03,,
1998CGY,1998,,,Calgary Flames,CGY,N,82,26,41,15,,67,0.409,217,252,-0.42,0.01,,
1998MDA,1998,,,Mighty Ducks of Anaheim,MDA,N,82,26,43,13,,65,0.396,205,261,-0.66,0.02,,
1998VAN,1998,,,Vancouver Canucks,VAN,N,82,25,43,14,,64,0.39,224,273,-0.58,0.02,,
